clue,exp,len
"1 TOLL-FREE Undisturbed by calls asking for money while driving, with phone set to silent? (4-4)"," Not a very good start for me I’m afraid: the definition is Ithink as here,but if a call is toll-free its cost doesn’t go on your bill — nobody rings you up asking for money, so what am I missing?—if the phone is set to silent it doesn’t ring [= toll] —but what is the reference to driving about? ",297
5 MOROSE Doctor got out of bed glum (6), MO rose ,9
10 EXCORIATE Severely criticise corrupt exec taking 18 out (9), (exec ratio)* since 18ac is RATIO ,35
11 FUDGE Sweet to take 4/21? (5)," 4/21 is EVASIVE ACTION so if you take evasive action you fudge — I had always thought that to fudge something was to obscure it, but Chambers gives one meaning as ‘dodge’ ",172
12 GAS Georgia’s wind (3), Ga’s ,6
"13 ROUGH Long grass, of course (5)"," A CD I think, simply referring to the rough on a golf course — or is there something else? ",92
"14 I DO Confirmation of union agreement to stick to long-term plan (1,2)"," Another CD I think, sinceI can make nothing else of this except a reference to what one says in the wedding ceremony ",118
15 HAUNT Jeremy or Tristram possessing a tendency to visit repeatedly (5), h(a)unt — ref Jeremy Hunt and Tristram Hunt ,45
16 FIRMAMENT Company meant to broadcast Sky (9), firm (meant)* ,15
18 RATIO Proportion of pillar at Ionian temple (5)," Hidden in pillaR AT IOnian — ‘of’ is the inclusion indicator —although onemight think that it’s ‘proportion of’ the first word is needed for the definition — some might carp because the word ‘temple’ isn’t necessary to the hidden and plays no part in the clue except to help the surface, but perhaps ‘Ionian’ and ‘temple’ are inextricably entwined; perhaps ",358
19 LIMBO Hellish work for pole dancer? (5)," Not absolutely sure, but I think this is just a CD, referring to the fact that a limbo dancer dances under a pole, and Limbo is the borderland of hell — but perhaps one can break this clue up conventionally ",208
"21 ABSTAINER Jack, one making a mark, one that doesn’t count in 8 (9)"," AB stainer — since 8 is ELECTION RESULTS, one that doesn’t count in the election results is an abstainer ",106
24 OPTED Chose exercise to develop definition in dictionary (5), O(PT)ED — P(hysical) T(raining) is exercise to develop one’s definition ,73
25 TAX Payment required – Raleigh Chopper delivered on time (3)," t ax — an ax is a chopper, the American spelling of ‘axe’, so presumably ‘Raleigh’ is a way (that is beyond me) of indicating the American-ness of the chopper — Sir Walter Raleigh, who had connections with America …? ",218
26 CAMUS “No parking in university grounds” – he had plenty of absurd ideas (5)," cam{p}us — Albert Camus, whose views contributed to the rise of philosophy known as absurdism ",95
27 ALI Champion of ring road welcomes new driver (3)," A(L)1— the new driver is a learner driver, and the champion of the ring is Muhammad Ali ",89
28 GREEN A place for putting lord in the spotlight? (5)," It’s ‘putting’ to rhyme with ‘cutting’, so another golf reference, which will annoy K’s D, and the rest of it is a reference to Lord Green, who is involved with the HSBC scandal ",179
"29 OVIDUCTAL To do with vital tube station serving cricket ground, I took 4/21 inside, reportedly (9)"," “I ducked” inside OVAL, which is the station serving the cricket ground The Oval, which is also a tube station, but ‘tube’ is needed for the definition ",153
"30 RASHER Being more hasty, it gets panned with some 31 (6)"," 31 being NEST EGGS, this refers to a fry-up of bacon and eggs ",63
"31 NEST EGGS Lodge encourages savings (4,4)"," nest [= lodge] eggs [= encourages] Down 1 THE ARTFUL DODGER Streetwise kid might have 31 in 6? (3,6,6) The Artful Dodger presumably made lots of money so might havehad nest eggs in an offshore account; at least that’s the best I can do ",237
"2 LACQUER Raquel dancing around clubs, stripped off her drawers? (7)"," (Raquel)* round c — I’m a bit vague about the definition here, but it seems to refer to the lacquer that is painted over the woodwork of her chest of drawers 3,7 FOR THE AVOIDANCE OF DOUBT Let’s be clear about French food; I’ve ‘ad to chuck up (3,3,9,2,5) (about French food I’ve ‘ad to)* 4,",292
"21 EVASIVE ACTION I, a Conservative, have no right to engineer refusal to pay 25? (7,6)"," (I a Conservative – r)* — nice anagram, clever to find this ",61
"6 OFFSHORE ACCOUNT The Cruel Sea possibly, just possibly, opened 3 of 25? (8,7)", The Cruel Sea by Nicholas Monsarrat was an account of activities offshore (i.e. at sea) and an offshore account is just possibly opened for the avoidance of tax — Knut is making sure that no libel lawyers have anything to use ,227
"8 ELECTION RESULTS Let’s recount lies about returning officer’s statement (8,7)", (Let’s recount lies)* ,23
"9 VEG OUT Relax on protein diet? (3,3)", If veg is outthen protein-rich foods will be part of the diet ,63
17 NAB Outlaw turned up collar (3)," (ban)rev. —but it could equally be (nab)rev. — we can’t know until wehave the checkers, and this is something not everyone likes, in my opinion justifiably 20 MITTENS With German Marks (the best!) they keep out the cold (7) mit [= ‘with’ in German] tens — in things like gymnastics perfect tens are the best marks ",315
"22 SEX LIFE Old boyfriend, with flies undone, about to enjoy this? (3,4)", ex in (flies)* — ‘about’ is the inclusion indicator ,53
1  Problem creating rheumatism makes mother quiet (4),   DAM (mother) + P (piano; quiet)  DAMP (a condition contributing to increased pain in arthritis and rheumatism)  ,115
