clue,exp,len
12 DUNT Local gild moribunD UNTil [taking some members] (4), E 14 NELIS Fruit that’s PENSILE* [rotted] [without ceasing] (5) F 15 OUPA Grandfather from townshipUP (raised) [in] OA ([unrefined] ROAD) (4) R 16 KNAWEL <{WARN [in] LEK (display area)} [about] weed (5) O 17 PET Favourite{TP (TRIP [on vacation])? E (East)}* [coast] (3) M ,273
18 OPE HOPEful [times]revealed in song (3)," W 21 OHM’S LAW [Criminal] {WHO WAS L (left)}* [holding] M (money) for current (and potential) relationship (6, two words) R 23 BATHOS {BAR SHOP}* [up] – what a let-down! (6) I 24 SAI IS* ([Means of] usIng taSty) [baits] [to trap] A monkey (3) T 26 GER GREAT* [hideouts] [after taking] AT (bit of a kip) in tent (3) E 28 SANDY S AND Y ([Spelt out] SY ([limits of]ESPECIALLY))elderly Scotsman (5) R ",398
1 THEORY  Nothing divides the lines – that’s the idea (6), O (Nothing) between (divides) THE and RY (lines) ,50
4 SMACKS  Blows kisses (6), Double Definition. First one in to give a useful clutch of first letters. ,75
"9 TRIUMPHANT  Run at it wildly, picking up speed and winning (10)",  MPH (speed) inside (RUN AT IT)* AInd: wildly.  Top clue ,58
10 PEER  Member of the Lords backtracking on record (4)," RE (on) EP (reord) all reversed (backtracking) 12 APOSTATE  He no longer believes in a position Sartre oddly rejected  A POST (a position) [s]A[r]T[r]E 13/14 PURSE ONES LIPS Show disapproval, and put money where mouth is? (5,4,4) DD/CD Double Def. second one literal ",268
16 PARMESAN  Cheese cut & grated (8), (AMPERSAN[d] )* AInd: grated.  Last one in. Still had thinking to do after realising my mistake in 13d. ,105
19 GUEST One’s offered hospitality in rogue state (5), Hidden: roGUE STate ,21
"21 DIASPORA  Those living abroad get help returning, with first instalments of support payments of regular amounts (8)"," AID< (help, returning) first letters S P O R A from the last part of the clue ",79
23 NETHER  Lower numbers (6), N and ETHER are each a number: N just from N[umber] and ETHER is the cryptic classic that makes you numb. I initially considered CATTLE when I had just the crossing T but the very next move gave me 15d which showed that this one couldn’t start with a C ,254
"25 AGIO  Finally, “Hi ho Silver” before the charge! (4)", AG (silver) before [h]I [h]O I had to look this up: Agio is a fee charged for exchanging currencies ,101
"26 EVIL MINDED  Did men live sinfully, being intent on wrongdoing? (4,6)"," (DID MEN LIVE)* AInd: sinfully 27/28 PUT ONE ACROSS Set theory was deceptive (3,3,6) PUT (set) ONE ACROSS (Theory, is the answer to 1 Across) Down 1 THREE  10 – 7 = 23? Head off in confusion (5)  Definition is the solution to the expression 10 – 7 Answer to 23 is NETHER (qv) so ([n]ETHER)* in confusion ",305
"2 EQUATOR  Without question, a route should be organised as a central line (7)", (A ROUTE Q[uestion])* AInd: organised ,39
"3 REPORTERS  Press on, having left the last trio of stragglers (9)", RE (on) PORT (left) [straggl]ERS ,34
"5 MOTTO  Bottoms up, endlessly – that’s the watchword! (5)", [b]OTTOM[s] < 6/,17
"11 CAPITAL LETTER London landlord that’s facing sentence? (7,6)"," Charade: CAPITAL (London) LETTER (landlord) 7 SWEET SPOT Steps we took (cancelling agreement) in order to find best contact place (5,4) (STEPS WE TOOK – OK)* AInd: in order ",174
"8 DA CAPO Party embracing a limit on spending from the beginning (2,4)", A CAP (a limit) inside DO (party). Musical term ,49
"13 PLAYING UP No being cryptic and causing problems! (7,2)", Answer as wordplay NO is ON (playing) reversed (up). I initially wrote in PUTTING UP. Not sure why now. ,105
15 ERGONOMIC  For this reason lack of amplification is conducive to working (9)," ERGO (For this reason) NO MIC (lack of amplification) 17 MISS OUT Omit state (not Rhode Island) at beginning of trip (4,3) MISSOU[ri] (state, without R[hode] I[sland]) then T[rip] ",181
"18 NIACIN  Doctor, can I get the first pair to inject essential nutrient? (6)"," (CAN I )* AInd: Doctor, IN[ject]. As seen on the side of a packet of cornflakes ",81
"20 EAT INTO Dropped dead while antidote was working? Bother! (2,4)", (ANITDOTE – D[ead])* AInd: working ,36
22 OCEAN  The main problem with canoe (5), (CANOE)* AInd: problem with ,29
1 COUNCIL  A Parisian caught breaking wind in congress? (7), (UN + C) in COIL. ,19
5 BOTCHED  Nick loses head in the sack – that’s messed up (7), [n]OTCH in BED. ,17
9 ABDICATOR Edward the VIII? A British tyrant half the time! (9), A + B + DIC[t]ATOR. I rather liked “half the time” once I got it. A device I’m fairly certain I haven’t seen before. ,118
10 SYRIA Country stronghold you raid in anger at the front (5), Acrostic of S[tronghold] Y[ou] R[aid] I[n] A[nger]. ,53
"11 PARMA  Parents to tour Rome at first, then here? (5)", (PA + MA) touring R[ome]. ,27
"12 ICE MAIDEN  Nice dame I put out is a really cool woman (3,6)", Anagram of (NICE DAME I). ,27
13 GLUCOSE  Posh firm near Kent after good tip from Lord Sugar (7), G + L[ord] + U + CO + SE. ,27
15 LAPPING Drinking like a setter? Don’t start panicking! (7), [f]LAPPING. ,13
"18 EXAMPLE  In Spain, the PM turned on old American model (7)", (EL + PM)< after (EX + A). ,28
20 BONKERS Crazy couple of people getting jiggy with it? (7), Two definitions. ,18
21 EGOTISTIC  Rubbish old git cites is all about me? (9), Anagram of (O + GIT CITES). ,29
23 AIOLI  I love almost everything about that one’s sauce (5), ((I + 0) in AL[l]) + 1. ,25
25 DINES Eats and drinks after ditching wife for date (5), [w]INES after ditching W for D. ,33
26 IMMEDIATE  I made time up without delay (9), Anagram of (I MADE TIME). ,27
27 REDNESS  Half-cut Barnes punches left-wingers? Ruddy quality! (7), [bar]NES in REDS. ,19
28 SPECIES Variety of glasses that browser should try on (7), IE in SPECS. Down ,19
1 CHAMPAGNE Bubbly chap game to get blotto around noon (9), (CHAP GAME)* around N. ,24
2 UDDER  One steering ship should avoid leading Republican tit (5), [r]UDDER. 3 COCK-A-HOOP  Bird and a bear going round in very high spirits (4-1-4) COCK + A + POOH<. ,101
4 LATRINE  Tenor getting into row about a right crappy place? (7), T. in ((A + R) in LINE. ,25
