clue,exp,len
"11 GREATER MANCHESTER Bury division: agreement’s charter for resolution (7,10)",  (AGREEMENT’S CHARTER)*  ,26
5 FEARFUL Loud telling-off makes one wary (7), Forte + EARFUL ,16
9 HINDU Believer showing rear for all to see (5), HIND + U. U is the cinema classification denoting that there is no age restriction on who may view a film  ,108
"10 BERNHARDT Actress’s long, central part on radio (9)","  hom. of “burn” + hom. of “heart”. Sarah Bernhardt, an actress from a little before my time  ",94
12 BERG Composer’s second-rate bit of work (4)," B + ERG. Presumably Alban Berg, who – despite that GCSE in Music – I think I’ve only heard of in the context of crosswords  ",125
14 RAPSCALLION Rogue performances by Public Enemy Number One returning on visit (11), RAPS + CALL + (NO 1)<  ,24
18 SQUIGGLIEST Hack GQ utilises good for the most slovenly of writing (11),  (GQ UTILISES Good)*  ,23
21 ITCH Heads off in total chaos: hundreds are dying (4)," In Total Chaos Hundreds  22,",29
"28 MICHAELMAS DAISIES Winner alongside podium that is covered in common flowers (10,7)", MICHAEL Winner (patronising insurance salesman) + ((DAIS + IE) in MASS)  ,74
25 AXMINSTER Carpeting from a cross vicar I ignored once (9), A + X + MIN[i]STER ,20
26 AILED Troubled when TV cook returns (5), DELIA< Smith  ,15
27 EARTHLY Coarse stocking line – out of this world! (7), Line in EARTHY Down ,21
"1 GO HOME Hit target? Try one that got to No 10 in the sixties (2,4)", GO + Alec Douglas-HOME ,24
2 ERNANI Daft turning up around end of Beggar’s Opera (6),  [begga]R in INANE<. Solved from wordplay and checking letters in my case  ,76
"3 TRUTH DRUGS Prescriptions for Verity coming from Yanks – pity doctor’s got involved (5,5)",  (RUTH +DR) in TUGS ,21
"4 REBUS In Edinburgh, busy on public transport (5)"," RE + BUS. This is “busy” as in “policeman”, with Inspector Rebus, an Edinburgh-based detective being the lead character in countless books by Ian Rankin  ",155
5 FORTESCUE Historian’s succinct description of snooker player’s strength? (9)," FORTE‘S CUE, implying that a snooker player’s forte is his cue. Another one solved from wordplay, as the works of John Fortescue, military historian, seem to have passed me by  ",178
6 ACHY Agreed to hug children in pain (4), CHildren in AY ,16
"7 FORGET IT Make a brass knocker? That?s nothing, really (6,2)"," FORGE TIT. A bit racy, that one  ",34
"8 LITIGANT Man in suit, some distance from China, chasing game soldier perhaps (8)"," LI + TIG + ANT. If I told you that I knew all about the Li, a Chinese unit of distance, I’d be lying. Still, the clue was solvable without that knowledge, and the definition – “man in suit” – is rather nice  ",209
13 GLITTERATI Gilt attire might become them (10),  (GILT ATTIRE)*  ,18
"15 PALMISTRY China unclear about role initially, reading between the lines? (9)", PAL + (R[ole] in MISTY)  ,26
16 ASPIRATE H-Hook-like? (8), AS PIRATE ,11
"17 DULCIMER Cure mild hiccups, bringing instrument (8)",  (CURE MILD)*  ,16
19 AMALFI Friend of Sartre entertaining Jarry briefly in Italian resort (6), ALF Jarry in AMI. Apparently a French playwright from some years back. No? Me neither.  ,89
20 B-SIDES Partners for singles to boot solitude – finally – out (1-5), B[e]SIDES ,11
"23 HARED Demanding to keep ecstasy, did speed (5)", E in HARD ,11
1 Note down something in bed (6)," FLOWER F (note), LOWER. The reference to “bed” is clever, as both flowering plants and rivers can be found in a bed, and both meanings of the word are to be found below. 4 1 across finding fault with bully (7) COWSLIP COW SLIP. A straightforward charade, made harder by having the elements reversed. ",301
"9 Medium discharge, maximum in obstreperous camels (9)", ECTOPLASM TOP in *CAMELS. 10 1 across‘s Antarctic expedition? (5) STOUR S(outh) TOUR. There is more than one River Stour in southern England and the Midlands. The question mark is perhaps justified by the relative obscurity of the answer. ,240
11 Strongly maintain small 1 across (5), SWEAR S(outh) WEAR. A better-known river in the North of England. 12 1 acrosses border river in places (9) PRIMROSES RIM R(iver) in POSES. ,140
"13 A conspirator twisted at first, seeking plant (7)"," ARBUTUS A BRUTUS, with the first two letters of the name reversed. Not clued as a 1 across, perhaps because (on this side of the Atlantic at any rate) it’s a tree rather than a flower. 15 1 across having to kiss a redhead (6) NECKAR NECK A R(edhead). The first of two German rivers. ",284
17 The way to have a relative balance (6), STASIS ST(reet) A SIS(ter). 19 1 across experienced UN’s absence at the front (7) DERWENT (un)DERWENT. Another river from the North of England. ,145
22 Tiredness certainly in use of retina? (9)," EYESTRAIN YES in *RETINA. Arguably an & lit clue, with the whole of it serving as a definition. 24 1 across more likely to win, leader dropping off (5) ASTER (f)ASTER. ",169
"26 Just around the corner, diet? (5)", LOCAL Sounds like “lo – cal”. The absence of anything explicit to indicate a homophone certainly justifies the question mark. 27 1 across one’s to discover behind new line (9) NARCISSUS N(ew) ARC I’S SUS. ,206
28 Skill of a tennis player pinches prize on the backhand? (7)," TOPSPIN NIPS POT (all rev). Another question mark clue, perhaps acknowledging the slightly loose definition. My understanding (and I don’t claim any particular expertise here) is that topspin can be imparted just as well on a serve and a forehand, so the clue is not perhaps an & lit. ",286
"29 Open unimaginative starter, prawn cocktail (6)"," UNWRAP U(nimaginative) *PRAWN. Down 1 1 across lets ya out, say (7) FREESIA Sounds like “frees ya”. ",101
2 Bizarre off and on (5)," OUTRE OUT RE. 3 1 across risen, there’s a cuckoo circling (9) EUPHRATES UP in *THERES A. A Middle Eastern river this time. 4 1 across, hero missing rugby posts (7) CAMPION C(h)AMPION. I rather liked “rugby posts” for “H”. 5 1 across gets to stitch up monarch (5) WESER SEW(rev) ER. The second German river. ",308
"6 Prided hair is on male that’s wild, covering top of neck (5,4)"," LIONS MANE N(eck) in *(IS ON MALE). Is “prided” a valid word, I wonder? I know that “pride” can be a verb, but I can’t recall seeing the participle used in this adjectival sense. ",180
