clue,exp,len
"1 Spooner’s departed newspaper – Standard for The Socialist? (3,4)"," FLED (departed) + RAG (newspaper) Dr William Archibald Spooner would transpose the leading consonants in the two words and say RED FLAG RED FLAG (the flag or banner[standard] associated with socialists or revolutionaries the world over) 5,",240
"21 Thief caught by tackle is wounded – stretcher produced? (7,7)", NICKER (thief) contained in (caught by) an (anagram of [wounded] TACKLE IS) to produce ….. KNICKER [ELASTIC] (something that stretches) ,137
"10 See 25  [APPLE] TART 11 Principled strength in which Blairfor me, questionable (5,5)", Anagram of (questionable) BLAIR FOR ME MORAL FIBRE (principled strength) ,74
12 Good old penny in change – isn’t that funny? (6), G (good) + (D [old penny] contained in [in] EDIT [change]) GEDDIT (do you get it?; do you see the point or joke?; isn’t that funny) ,133
13 Game of which day old parrot spoke (8), MON (Monday; day) + O (old) + POLY (sounds like POLLY [parrot]) MONOPOLY ([board] game) ,89
"14 Outdoor cafeteria guaranteed less posh cooking (3,6)", Anagram of (cooking) GUARANTEED excluding (less)U (posh) TEA GARDEN (outdoor cafeteria) ,89
16 Tall girl’s back covered in yellow and white? (5), Final letter L of (back) GIRL + EGGY (covered with eggs; covered in yellow and white) LEGGY (having noticeably slim long legs; tall) ,134
"17 View viewed, say (5)", Sounds like (say) SEEN (viewed) SCENE (view) ,46
19 Letters are dealth with (9), ADDRESSED (letters are) ADDRESSED (dealt with) ,48
"23 Iberian drink and Indian potato for the ladies on the move, perhaps (8)"," PORT (fortified wine of the Duoro Valley in Portugal; Iberian drink) + ALOO (Indian potato) PORTALOO (portable lavatory, as in ladies or gents toilets; for the ladies on the move) ",181
24 Prisoner secreted by friend from the dominant uprising (6)," LAG (prisoner) contained in (secreted by) PAL (friend)  PLAGAL (musical term in ‘plagal cadence’ in which the subdominant chord preceds the tonic; dominant uprising. Although the wordplay clearly led to PLAGAL, I have to admit I had to look up the definition to confirm the answer) ",283
"26 Madoff, for example, consumed by endless capital, as controversial multi-millionaire (10)"," US CON (United States prisoner, such as Bernie Madoff , of Ponzi scheme fame) contained in BERLIN (capital [of Germany]) excluding the final letter (endless) N BERLUSCONI (reference the controversial Silvio Berlusconi, Prime Minister of Italy, at present, and a multi-millionairre) ",283
27 Head for the starter (4)," PATE (head) PÂTÉ (paste made of blended meat, frequently served as a starter at meals) ",88
