clue,exp,len
"1. We’ll work magic, getting hock in French bar (7)",   SHAMANS HAM in SANS ,23
8. Philosopher in squad not getting on (5),   PLATO PLATO[on] ,19
12. Shifting to green area or fitting wind-powered device (13),   AEROGENERATOR (TO GREEN AREA OR)* ,37
"13. Winter quarters for some deer, low and indeed turned over by old plough (9)",   MOOSEYARD MOO + YES< + ARD ,30
14. Braidwork one found in core of quilting (5),   LACET ACE in [qui]LT[ing] ,29
15. Fail to justify most of intuition (5),"   BELIE BELIE[f] 16. Stop soft-pedalling past history contained within tome’s covers (8, 2 words)   TRE CORDE RECORD in T[om]E ",128
19. Savoury snack that a party’s included (4),   TAPA Hidden (and pretty much &lit too) ,42
"20. Cook displaying sardonic humour, a natural gift (5)",   DOWRY DO (cook) + WRY (sardonic)A dowry can be “a natural gift”. “Humour” seems to be redundant. ,100
21. Late-night bugle-call maybe bugs (4),   TAPS Double definition ,26
"23. Page escort holding end of robe, wearing wooden shoes of old (8)",   PATTENED P + [rob]E in ATTEND ,33
26. Greek island temple with cross inside (5),   NAXOS X in NAOS ,19
28. It may give some tar a meal! (5),   ARAME Hidden &lit ,21
30. A club rule ultimately withholding name for cocktail (9),"   AMERICANO A MERI CANO[n].It’s a cocktail of Campari, vermouth and soda (also a fancy name for “black coffee”). MERI is a Maori war-club. ",140
"31. Acceptable in court, service about reached – it’s very low in the wind (13)","   CONTRAFAGOTTO ON in CT, RAF< GOT TO ",39
32. Part of bow creating wash at sea either side of engine (5),   HAWSE E in WASH* ,20
"33. Feet apart, plays fantastically as centre, giving impressive display in the air (7)","   FLYPAST PLAYS* in FT down 1. Bellow e.g. ‘Time’, making one jump once? (5)   SAULT SAUL + T ",95
2. Man below par? Quite the opposite – this old sulphur compound does the trick (5),   HEPAR PAR below HE ,22
3. Treatment for dementia or paretic malfunctioning (7),   ARICEPT PARETIC* ,20
4. Gig creating grimaces in audience (4),"   MOZE Homophone of “mows”. MOZE is “to gig, raise a nap on” (of textiles). The third entry in Chambers for MOW gives “to make grimaces”. ",139
5. One struggling with current round river typical of Amazon area? (11),   NEOTROPICAL ONE* + R in TOPICAL ,35
6. Apple flakes (4),"   SNOW Double definitionA white-fleshed apple, and the wintry falling stuff ",77
7. Saucy having got stuck into ales and vin drunk of an evening (11),   VESPERTINAL PERT in (ALES VIN)*The root “vesper-” recalls the ecclesiastical “vespers”. ,91
"8. Lay in stocks of food for hunters, bully less than half consumed (6)",   PRE-BUY BU[lly] in pREY 9. Clothes for baby that’s overdue (still inside) (7)   LAYETTE YET in LATE ,103
10. Part of Puerto Rico that bulges out? (5),   TORIC Hidden ,16
11. They’re full in the priesthood – what’ll one waiting take? (6),"   ORDERS Double definitionA priest has full holy orders, and waiters take orders. ",83
17. Frolics about having endlessly struggled up (7),   CAVORTS CA + STROV[e]< ,26
18. Meld when tucking into half a melon? (7),   CANASTA AS in CANTA[loupe] ,30
19. Sacred Jewish texts one kept in biblical fastener (6),   TANACH AN in TACH ,21
"20. Longing to get free of parent, one assumes? (6)",   DESIRE “DE-SIRE” ,20
22. Aussie state with former resident of NZ and Pacific islands (5),   SAMOA SA + MOA ,18
