clue,exp,len
"9  Sort of heavenly model: one with lots bare, wiggling (9)", ASTROLABE An anagram of A (one) and LOTS BARE – anagrind is ‘wiggling’ ,72
"10  Unmarried, having no son? A cosy position (5)", INGLE sINGLE (unmarried) without the ‘s’ (son) ,48
11  Broke? Increase in receipts mostly reversed (5), KAPUT UP (increase) in TAKe (receipts) without the last letter or ‘mostly’ – all reversed ,91
12  Misaligned fellows having little money in aggregate (3-6), OFF-CENTRE FF (fellows) CENT (‘little money’) in ORE (aggregate) ,66
"13  Subprogram to do with energy? It bears fruit (5,4)", APPLE TREE APPLET (subprogram) RE (to do with) E (energy) ,59
15  Run in footwear? I need special shoes (5), HORSE R (run) in HOSE (footwear) ,34
"16  Tense ramble, having shaken off daughter and ferocious mother (7)", TIGRESS T (tense) dIGRESS (ramble) without or ‘shaking off’ the ‘d’ (daughter) ,80
18  Proclaim appearance of politician in real-time (7), TRUMPET MP (politician) in TRUE (real) T (time) ,49
19  Reliable performer dropped in error? (5), BRICK Double definition ,25
20  Rough bale carried by a pale 15 without demur (9), AGREEABLY An anagram of BALE (anagrind is ‘rough’) in or ‘carried by’ A GREY (pale horse – 15across) ,102
22  A great number in lively dance company being held back (9)," OCTILLION We’re completely stumped by this one! There’s NO (number) and CO (company) reversed at either end and LIT (‘lively’?) reversed in the middle, but the ‘number’ is part of the definition, and where does the LI and ‘dance’ come in? Any thoughts out there? See the helpful comment from [emailprotected] ",310
25  Despicable character keeping Bill silent (5), TACIT TIT (despicable character) round or ‘keeping’ AC (account – bill) ,73
27  I attempt to secure line over construction of ice (5), IGLOO I GO (try) round or ‘securing’ L (line) + O (over) ,58
28  Tin left in food store not ultimately suited to a romantic dinner? (9), CANDLELIT CAN (tin) + L (left) in DELI (food store) + T (last or ‘ultimate’ letter of ‘not’) Down ,99
1  Hard week hosting a supporter of war (4), HAWK H (hard) WK (week) round or ‘hosting’ A ,46
"2  Increase number of animals at home? (4,2)", STEP UP PETS (animals at home) reversed or UP ,47
3  Expressions of courage and audacity in a jam (10), BOTTLENECK BOTTLE (courage) NECK (audacity) ,45
"4  Italian gangster: “I run Italian city, turning up in criminal acts” (10)", CAMORRISTA I R (run) ROMA (Italian city) reversed or ‘turning up’ in an anagram of ACTS – anagrind is ‘criminal’ – a new one for us! ,134
"5  Grouse, or another main course? (4)", BEEF Double definition ,24
6  English Literature picked up in item of coverage (4), TILE E (English) LIT (literature) reversed or ‘picked up’ 7  A lot of Republicans will accept it (public relations) as a political tool (8) AGITPROP A GOP (Grand Old Party – the Republicans) round or ‘accepting’ IT PR (public relations) ,238
8  See Fenland city invaded by the men rioting ferociously (10), VEHEMENTLY V (vide – see) ELY (Fenland city) round or ‘invaded by’ an anagram of THE MEN – anagrind is ‘rioting’ ,114
13  It captures brief life-story in caper relating to medical treatment (10), ANTIBIOTIC IT round or ‘capturing’ BIOg (biography – ‘life-story’) without the last letter or ‘brief’ in ANTIC (caper) ,120
14  Exalting Knight: none right to be upset about that (10), ENTHRONING N (knight – in chess) with an anagram of NONE RIGHT (anagrind is ‘upset’) outside or ‘about’ ,105
"15  Standard approach employs limits of theory when in difficulty (5,5)", HOUSE STYLE USES (employs) TheorY (first and last letters or ‘limits’) in HOLE (difficulty) ,93
17  One officer I left throttled by chap fully acknowledging blame (8), GUILTILY I (one) LT (lieutenant – officer) I L (left) in or ‘throttled by’ GUY (chap) ,87
21  Resist before the French collapse (6), BUCKLE BUCK (resist) LE (‘the’ in French) ,43
23  Hero‘s award – not another award? (4), LION medalLION (award) without ‘medal’ (‘another award;) ,58
24  Long to marry after losing first husband (4), ITCH hITCH (marry) ‘losing’ the first ‘h’ (husband) ,53
7 Offer to tour elven ruins (9), VOLUNTEER : Anagram of(… ruins) TOUR ELVEN. ,45
8 Canoe might capsize here? (5), OCEAN : Anagram of(… might capsize) CANOE. Defn: Where a canoe might very well capsize. A WIWD (wordplay intertwined with definition) clue. ,141
"9 At twilight in EU, Norway thanks Finland’s parliament (9)", EDUSKUNTA : DUSK(at twilight) contained in(in) EU + N(International Vehicle Registration code for Norway) + TA(short for “thanks”;thank you).  ,144
10 Prepare bread (5)," READY : Double defn: 1st: As in “to ready a ship for its maiden voyage”; and 2nd: An informal term for ready cash;money, another informal term for the latter being “bread”.  ",175
"12 When outside, they’re never homeless (6)"," SNAILS : Cryptic defn: Reference to those molluscs who, whether they’re inside or outside, carry their homes with them. ",121
22 It’s essential to follow clues by directions (8)," KEYSTONE : TO placed after(follow) KEYS(clues;things that helps to one to understand something, eg. the legend in a map) plus(by) N,E(abbrev. for “north” and “east”;directions). One might argue it should be “follows” in this instance, but that would make the surface ungrammatical. It didn’t help that “key” also means “essential”. ",333
25 Unwilling to serve out after ace (6)," AVERSE : Anagram of(… out) SERVE placed after(after) A(abbrev. for “ace”, in card games, say). ",96
27 Ghost upset king – I’m so sorry! (5), SPOOK : Reversal of(upset) [ K(abbrev. for “king”) + OOPS!(an exclamation to indicate that “I’m so sorry – I made a booboo”) ]. ,129
28 Pit in Wales demolished completely (9), WHOLESALE : HOLE(in the ground;a pit) contained in(in) anagram of(… demolished) WALES. ,88
"29 Short, strong cheese as starter (5)"," BRIEF : F(abbrev. for “forte”, musical direction to play loudly;strongly) placed after(… as starter) BRIE(a soft cheese). ",123
"30 Cluedo character goes topless endlessly, like Holly? (9)"," EVERGREEN : “[Reverend Green]”(character in the board game Cluedo) minus its 1st letter(goes topless) minus(…-lessly) “end”. Defn: …, the tree or shrub. Down ",159
1 Bright? Try Latin study (6), GOLDEN : GO(a try;an attempt) + L(abbrev. for “Latin”) + DEN(a study;a room for privacy and peace). ,101
2 Cheer as doctor in NHS impregnates girl (8), SUNSHINE : Anagram of(doctor) IN NHS contained in(impregnates) SUE(a girl’s name). ,84
3 Beers to sell on board? (6)," STOUTS : TOUT(to sell;to hawk) contained in(on board …) SS(abbrev. for “steamship”, in a, well, steamship’s name). ",116
"4 Nuclear researchers keep time with artificial intelligence, for sure (7)"," CERTAIN : CERN(abbrev. for Conseil Européen pour la Recherche Nucléaire, or the European Organisation for Nuclear Research) containing (keep) [ T(abbrev. for “time”) plus(with) AI(abbrev. for “artificial intelligence”) ]. ",223
5 Grasp back muscle during performance (6)," ACCEPT : Reversal of(back) PEC(short for the pectoral muscle) contained in(during) ACT(a performance, on stage, say). ",119
6 Perhaps Eden Hazard’s foot is within shot range (6)," GARDEN : The last letter of(…’s foot, in a down clue) “Hazard” contained in(within) anagram of(shot) RANGE. And Eden Hazard is a footballer too. Defn: An example of which is;perhaps the biblical Eden. ",202
11 Opposed to local migrant integration (4), ANTI : Hidden in(local;native;inhabiting) “migrant integration“. ,66
14 Travel north or south in Winnipeg to find hotel (3)," INN : [Reversal of and hidden in]( Travel north … in, in a down clue) or hidden in(Travel … south in, in a down clue) “Winnipeg“. ",131
"15 For example, over 1,000 stone (3)"," GEM : Reversal of(…, over, in a down clue) EG(abbrev. for “exempli gratia”;for example) + M(Roman numeral for 1,000). ",119
