clue,exp,len
1 CHARLADY Tea boy with yen for older female worker? (8), CHAR (tea) LAD (boy) Y (yen) ,30
"5 TOO BAD Words of reluctant acceptance not good enough (3,3)", NOT BAD (~ not good enough) – didnt particularly like this clue / See comments ,80
9 HEADIEST Fades in preliminary race that’s most exciting (8), DIES (fades) in HEAT (preliminary race) ,41
10 STAYER Saint and philosopher who won’t give up? (6), ST (saint) AYER (philosopher) ,31
"12 RATED Admired artist, rebel of the fifties (5)", RA (artist) TED (rebel of the fifties) ,40
13 APENNINES A writer’s traversing square in the mountains (9), A [PEN’S (writer’s) across NINE (square) ] ,44
"14 ABASED Humbled, like journalist encountering a bishop (6)", [AS (like) ED (journalist)] containing [A B (bishop) ] ,56
16 PLOTTER Schemer to amble outside back of hall (7), POTTER (amble) outside L (back of halL) ,41
18 MATTERS Affairs make a difference – the end of faithfulness (7), MATTER (make a difference) S (end of faithfulnesS) ,52
20 MUTTER Grumble coming from maiden given voice (6), M (maiden) UTTER (voice) ,26
"22 REFORMING It could be grim for one losing love, making a new start (9)", GRIM FORoNE* (losing love i.e. without ‘o’) ,45
23 FORCE Agency supporting the established church (5), FOR (supporting) CE (established church) ,42
24 PHONEY Call by made by unknown character – one attempting a scam? (6), PHONE (call) Y (unknown character) – an out-of-place ‘by’ in the clue. ,72
25 ETHERNET Enter the new computer system (8), ENTER THE* ,12
26 RAKISH Jaunty queen and king half hidden in wood (6)," R (queen, Regina) [ KI (KIng, half) in ASH (wood) ] ",53
27 KNOTWEED Edge of bank by river containing no troublesome plant (8), [ K (edge of banK) TWEED (river) ] containing NO Down ,55
1 COHORT Firm animated having collected right group of people (6)," CO (firm) [ HOT (animated) containing R (right) ] 2 A NASTY BIT OF WORK An unpleasant task for a villain (1,5,3,2,4) double def ",129
3 LAIRD Scot of some means in den with daughter (5), LAIR (den) D (daughter) ,25
"4 DISCARD One got rid of blemish, managed to hide it (7)"," DID (managed) hiding SCAR (blemish) – doesnt the clue translate to ‘DISCARDED’? 6 OUT AND OUT In every respect unfashionable, aunt moved around party (3-3-3) OUT (unfashionable) [ AUNT* around DO (party) ] 7 BEYOND THE FRINGE Hefty drunk with no breeding in satirical show (6,3,6) HEFTY NO BREEDING* ",301
